id,status,author,title,year,grade,edition,firstprint,lastprint,contents,source
,DJVU,"Арбузов, В. И др.","Систематический сборник арифметических задач.",1918,,21,,,,old.mathedu.ru
,DJVU,"Аржеников, К. П.","Сборник арифметических задач и примеров для начальных народных училищ. Год первый.",1918,1,97,,,,old.mathedu.ru
,DJVU,"Аржеников, К. П.","Сборник арифметических задач и примеров для начальных народных училищ. Год второй.",1918,2,94,,,,old.mathedu.ru
,DJVU,"Аржеников, К. П.","Сборник арифметических задач и примеров для начальных народных училищ. Год третий.",1918,3,66,,,,old.mathedu.ru
,DJVU,"Аржеников, К. П.","Сборник арифметических задач и примеров для начальных народных училищ. Год четвертый.",1916,4,9,,,,old.mathedu.ru
,DJVU,"Борисов Ф., Сатаров В.","Сборник арифметических задач. Выпуск 2. Задачи и примеры на целые именованные числа до тысячи.",1911,,14,,,,old.mathedu.ru
gebel.algebra.1915.txt,готов,"Гебель В.Я.","Начала алгебры и собрание задач.",1915,,9,,,,old.mathedu.ru
goldenberg.z1.1903.txt,готов,"Гольденберг А.И.","Сборник задач и примеров для обучения начальной арифметике. Выпуск 1.",1903,,36,,,,old.mathedu.ru
evtushevsky.z2.1905.txt,OCR,"Евтушевский В.А.","Сборник арифметических задач и численных примеров. Часть вторая. Дроби.",1905,,28,,,,old.mathedu.ru
,DJVU,"Сахаров, И. П. ; Соколов, Н. И.","Новый арифметический задачник. Ч. 1",1906,1-4,,,,,old.mathedu.ru
,DJVU,"Сахаров, И. П. ; Соколов, Н. И.","Новый арифметический задачник. Ч. 2",1910,1-4,,,,,old.mathedu.ru
,DJVU,"Аржеников, К. П.","Сборник задач по математике. Для школ I ступени. Часть первая",1923,1,,,,"Первый десяток. Первые два десятка. Круглые десятки до ста",old.mathedu.ru
,DJVU,"Аржеников, К. П.","Сборник задач по математике. Для школ I ступени. Часть вторая",1923,2,,,,"Первая сотня. Первая тысяча. Геометрические сведения",old.mathedu.ru
,DJVU,"Аржеников, К. П.","Сборник задач по математике. Для школ I ступени. Часть третья",1924,3,,,,"Числа любой величины. Именованные числа. Простые дроби. Десятичные дроби. Четыре действия. Геометрические сведения",old.mathedu.ru
arzhenikov.4.1924.txt,готов,"Аржеников, К. П.","Сборник задач по математике. Для школ I ступени. Часть четвертая",1924,4,,,,"Простые дроби. Метрические меры. Десятичные дроби. Геометрические сведения",old.mathedu.ru
,нет,"Беллюстин, В. К.","Арифметический задачник",1922,1-5,,,,,
,DJVU,"Бем, Д. ; Волков, А. ; Струве Р.","Сокращенный сборник упражнений и задач по элементарному курсу алгебры. Часть 1",192?,,,,,,old.mathedu.ru
,DJVU,"Бем, Д. ; Волков, А. ; Струве Р.","Сокращенный сборник упражнений и задач по элементарному курсу алгебры. Часть 2",1926,,,,,,old.mathedu.ru
,DJVU,"Бем, Д. ; Волков, А. ; Струве Р.","Сокращенный сборник упражнений и задач по элементарному курсу алгебры. Часть 3",1924,,,,,,old.mathedu.ru
berg.5.1930.txt,готов,"Берг М.Ф., Знаменский М.А., Попов Г.Н. И др.","Рабочая книга по математике. Для 5-го года обучения в городской школе.",1930,5,,,,,old.mathedu.ru
berg.6.1930.txt,готов,"Берг М.Ф., Знаменский М.А., Попов Г.Н. И др.","Рабочая книга по математике. Для 6-го года обучения в городской школе.",1930,6,,,,,old.mathedu.ru
,DJVU,Волковский,,,,,,,,old.mathedu.ru
,DJVU,Воронец,,,,,,,,old.mathedu.ru
,DJVU,"Глазенап, С. П.","Задачник по начальной математике. Часть первая.",1924,,3,,,,old.mathedu.ru
,DJVU,"Глазенап, С. П.","Задачник по начальной математике. Часть вторая.",1924,,3,,,,old.mathedu.ru
glazenap.3.1924.txt,готов,"Глазенап, С. П.","Задачник по начальной математике. Часть третья.",1924,,3,,,,old.mathedu.ru
,DJVU,"Грацианский, Кавун","Сборник арифметических задач",,,,,,,old.mathedu.ru
,DJVU,Добровольский,,,,,,,,old.mathedu.ru
,DJVU,"Звягинцев Е., Бернашевский А., Васильев Г.","Живой счет. Сборник арифметических задач и упражнений для сельских школ. Часть I.",,,,,,,old.mathedu.ru
,DJVU,"Зенченко, Эменов","Жизнь и знание в числах",,,,,,,old.mathedu.ru
zenchenko.gorod.4.1925.txt,OCR,"Зенченко С.В., Эменов В.Л.","Жизнь и знание в числах. Сборник арифметических задач для городской школы. Четвертый год обучения.",1927,4,3,,,,old.mathedu.ru
,DJVU,"Ланков А.В.","Алгебраический задачник на основе техники и экономики.",,,,,,,old.mathedu.ru
lankov.1925.txt,OCR,"Ланков А.В.","Арифметический задачник. Для трудовой школы I ступени. Четвертый год обучения.",1925,4,10,,,,old.mathedu.ru
,DJVU,"Лебединцев К.Ф.","Сборник задач и других упражнений по курсу алгебры. Часть 1.",1926,,3,,,,old.mathedu.ru
berezanskaya.1933.txt,готов,"Березанская Е.С.","Сборник задач и упражнений по арифметике: Для средней школы.",1933,5,,,,,old.mathedu.ru
,нет,"Богданов, Кантор, Корольков","Сбоник арифметических задач",,,,1933,,,
,нет,Гребенч,"Дополнительный сборник алгебраических задач",,,,1940,,,
,нет,Киселев,"Алгебра. Ч. 1",,6-7,,1933,,,
,нет,"Киселев, Хинчин",Арифметика,,5-6,,1938,,,
,нет,"Корепанов и др.","Математика. Арифметика и геометрия",,1,,1932,,,
,нет,"Попов, И. Г.",Арифметика,,5-6,,1933,,,
,нет,"Попова, Н. С. ; Пчелко, А. С.","Сборник арифметических задач и упражнений",,3-4,,1938,1943,,
popova.4.1941.txt,готов,"Попова, Н. С. ; Пчелко, А. С.","Сборник арифметических задач и упражнений. Часть 4",1941,4,4,1938,1943,,old.mathedu.ru
,DJVU,"Попова Н.С.","Учебник арифметики. Для начальной школы. Часть I.",1937,1,,1931,1938,,old.mathedu.ru
,DJVU,"Попова Н.С.","Учебник арифметики. Для начальной школы. Часть II.",1933,2,,1931,1938,,old.mathedu.ru
,DJVU,"Попова Н.С.","Учебник арифметики. Для начальной школы. Часть III.",1937,3,,1931,1938,,old.mathedu.ru
,нет,"Снигирев, Чекмарев","Сборник арифметических задач.  Ч. 1-2",,3-4,,1940,1941,,
,DJVU,"Шапошников Н.А., Вальцов Н.К.","Сборник алгебраических задач. Часть I.",1933,6-8,2,1918,1950,,old.mathedu.ru
,нет,"Эменов, Чекмарев","Сборник арифметических задач и упражнений",,1,,1940,,,
,нет,"Андронов, И. К.","Арифметика натуральных чисел",,,,1954,,,
,нет,"Андронов, И. К.","Арифметика дробных чисел и основных величин",,,,1955,,,
,нет,"Андронов, И. К. ; Брадис, В. М.",Арифметика,,,,1957,1962,,
larichev.1958.txt,готов,"Ларичев, П. А.","Сборник задач по алгебре. Ч. 1",1958,6-8,10,1948,1971,,old.mathedu.ru
larichev.1964.txt,готов,"Ларичев, П. А.","Сборник задач по алгебре. Ч. 1",1964,6-8,,1948,1971,,мой
,нет,"Никтин, Н. Н. ; Поляк, Г. Б. ; Володина Л. Н.","Сборник арифметических задач и упражнений. Ч. 1-4",,1-4,,1943,1954,,
,нет,"Песков, Т. А.","Сборник арифметических задач",,5-6,,1952,,,
,нет,"Пономарев, С. А. ; Сырнев Н. И.","Сборник задач и упражнений по арифметике",,5-6,,1954,1970,,
,нет,"Пчелко, Поляк","Арифметика. Ч. 1-4",,1-4,,1954,1969,,
,нет,"Шевченко, И. Н.",Арифметика,,5-6,,1956,1970,,
,нет,"Андронов, И. К.","Математика (Множества, числа, фигуры, операции)",,4,,1969,,,
,нет,"Аргинская, И. И.","Учебник математики",,2,,1966,,,
,нет,"Аргинская, И. И.","Учебник математики",,3,,1967,,,
,нет,"Баранова, И. В. ; Борчугова, З. Г.",Математика,,4,,1966,,,
vilenkin.1970.txt,готов,"Виленкин, Н. Я. И др.",Математика,1970,4,,1968,,,мой
